route,announced,first_month,last_month,months_flown,status,flights_2021,flights_2022,flights_2023,flights_2024,flights_2025,flights_2026,passengers
CAK-CHS,May 2021,2021-07,2026-06,60,still flying (June 2026),103,252,326,255,278,169,137222
CAK-MSY,May 2021,2021-07,2023-02,12,ended 2023-02,45,34,8,0,0,0,5366
CAK-TPA,May 2021,2021-07,2026-06,60,still flying (June 2026),27,87,139,134,133,78,64337
CMH-CHS,May 2021,2021-07,2026-06,60,still flying (June 2026),58,129,117,108,149,87,58247
CMH-MSY,May 2021,2021-07,2023-02,12,ended 2023-02,46,37,8,0,0,0,5962
CMH-ORF,May 2021,2021-07,2026-06,36,still flying (June 2026),45,61,30,30,79,18,20831
CMH-TPA,May 2021,2021-07,2023-12,13,ended 2023-12,27,20,17,0,0,0,4679
CMH-BDL,May 2021,2021-07,2026-06,51,still flying (June 2026),89,85,70,110,74,42,41448
CMH-PVD,Mar 2022,2022-05,2026-06,16,still flying (June 2026),0,10,46,37,0,16,7512
CMH-JAX,Mar 2022,2022-05,2026-06,28,still flying (June 2026),0,20,32,29,75,40,19183
CMH-SAV,Mar 2022,2022-06,2022-09,4,ended 2022-09,0,16,0,0,0,0,904
CAK-BNA,Mar 2022,2022-05,2023-05,13,ended 2023-05,0,72,41,0,0,0,8058
CAK-BDL,Mar 2022,2022-06,2026-03,2,ended 2026-03,0,8,0,0,0,1,438
CAK-RSW,Jul 2023,2023-11,2026-06,27,still flying (June 2026),0,0,20,110,213,112,52357
CMH-RSW,Jul 2023,2023-11,2026-06,27,still flying (June 2026),0,0,15,83,133,72,33295
