report_month,company,county,region,industry,jobs_created,payroll,jobs_retained,investment,source_file,page,program,program_value
2019-Jan,Blue Label Packaging Company,Fairfield,Central,Other,30,"$1,700,000",62,"$1,000,000",2019-monthly-metrics.pdf,1,Workforce Grant,"$45,000"
2019-Jan,CoverMyMeds LLC,Franklin,Central,Healthcare,1032,"$75,300,000",592,"$8,000,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$1,000,000"
2019-Jan,CoverMyMeds LLC,Franklin,Central,Healthcare,1032,"$75,300,000",592,"$8,000,000",2019-monthly-metrics.pdf,1,Workforce Grant,"$4,500,000"
2019-Jan,Insight Catastrophe Group LLC,Hamilton,Southwest,Financial Services,19,"$1,045,000",16,$0,2019-monthly-metrics.pdf,1,Workforce Grant,"$35,000"
2019-Jan,"NSG Glass North America, Inc",Wood,Northwest,Advanced Manufacturing,150,"$7,200,000",0,"$250,000,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$2,500,000"
2019-Jan,"NSG Glass North America, Inc",Wood,Northwest,Advanced Manufacturing,150,"$7,200,000",0,"$250,000,000",2019-monthly-metrics.pdf,1,Workforce Grant,"$500,000"
2019-Jan,"Brennan Industries, Inc.",Cuyahoga,Northeast,Advanced Manufacturing,28,"$1,400,000",68,"$3,883,200",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$200,000"
2019-Jan,"CIL Isotope Separations, LLC",Greene,Western,Healthcare,10,"$660,000",29,"$12,300,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$50,000"
2019-Jan,"Inogen, Inc.",Cuyahoga,Northeast,Healthcare,260,"$13,000,000",240,"$600,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$250,000"
2019-Jan,"Precision Alloy Services, Inc.",Wood,Northwest,Aerospace and Aviation,20,"$750,000",2,"$1,950,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$75,000"
2019-Jan,Xcess Limited,Wayne,Northeast,Logistics and Distribution,125,"$3,200,000",40,"$5,850,000",2019-monthly-metrics.pdf,1,Economic Dev. Grant,"$150,000"
2019-Jan,"McDaniel Products, Inc.",Richland,Northeast,Advanced Manufacturing,20,"$625,000",24,"$888,600",2019-monthly-metrics.pdf,1,Revitalization Grant,"$75,000"
2019-Jan,Municipal Light Plant LLC,Franklin,Central,Other,23,"$1,572,600",51,"$10,820,327",2019-monthly-metrics.pdf,1,Revitalization Grant,"$700,000"
2019-Jan,Rise Brands Inc.,Franklin,Central,Other,38,"$2,280,000",15,"$1,924,467",2019-monthly-metrics.pdf,1,Revitalization Grant,"$300,000"
2019-Feb,"Dollar Tree Distribution, Inc.",Morrow,Central,Logistics and Distribution,400,"$12,800,000",0,"$132,148,750",2019-monthly-metrics.pdf,2,Workforce Grant,"$400,000"
2019-Feb,"Kohl's Department Stores, Inc.",Licking,Central,Logistics and Distribution,684,"$22,500,000",0,"$293,280,037",2019-monthly-metrics.pdf,2,Workforce Grant,"$1,000,000"
2019-Feb,Manifest Solutions Corp.,Franklin,Central,Information Services and Software,40,"$2,800,000",60,-,2019-monthly-metrics.pdf,2,Workforce Grant,"$175,000"
2019-Feb,"QuEST Global Services-NA, Inc.",Hamilton,Southwest,Aerospace and Aviation,60,"$3,900,000",65,"$200,000",2019-monthly-metrics.pdf,2,Workforce Grant,"$75,000"
2019-Feb,Republic Steel,Lorain,Northeast,Other,125,"$7,000,000",0,"$890,000",2019-monthly-metrics.pdf,2,Workforce Grant,"$500,000"
2019-Feb,AxoGen Corporation,Montgomery,Western,Healthcare,200,"$8,240,000",28,"$10,082,200",2019-monthly-metrics.pdf,2,Economic Dev. Grant,"$950,000"
2019-Feb,Hometown Food Company,Lucas,Northwest,Food Sciences and Agriculture,15,"$1,000,000",227,"$13,000,000",2019-monthly-metrics.pdf,2,Economic Dev. Grant,"$250,000"
2019-Feb,"National Door and Trim, Inc.",Van Wert,Northwest,Advanced Manufacturing,50,"$1,640,000",51,"$850,000",2019-monthly-metrics.pdf,2,Economic Dev. Grant,"$100,000"
2019-Feb,ProVia LLC,Tuscarawas,Northeast,Advanced Manufacturing,197,"$8,865,000",0,"$33,350,000",2019-monthly-metrics.pdf,2,Economic Dev. Grant,"$500,000"
2019-Feb,DiGeronimo Development LLC*,Cuyahoga,Northeast,Other,0,$0,0,"$10,755,967",2019-monthly-metrics.pdf,2,Revitalization Grant,"$330,000"
2019-Feb,"Innovative Solutions Unlimited, L.L.C.",Pike,Southeast,Shale Energy and Petrochemicals,15,"$480,000",77,"$525,940",2019-monthly-metrics.pdf,2,Revitalization Grant,"$150,000"
2019-Feb,"Kripke Enterprises, Inc.",Lucas,Northwest,Advanced Manufacturing,25,"$1,100,000",22,"$6,933,000",2019-monthly-metrics.pdf,2,Revitalization Grant,"$200,000"
