ein,cik,name,state_inc,hq_state,hq_city,sic,sic_desc,tickers,former_names,last_filing
854364273,0001846146,"1865, LLC",OH,OH,COLUMBUS,,,,,2021-02-17
833394582,0001925495,"80 Acres Urban Agriculture, Inc.",DE,OH,CINCINNATI,,,,,2025-10-31
360698440,0000001800,ABBOTT LABORATORIES,IL,IL,ABBOTT PARK,2834,Pharmaceutical Preparations,ABT,,2026-09-03
360700810,0000002024,ACE HARDWARE CORP,DE,IL,OAK BROOK,5070,Wholesale-Hardware & Plumbing & Heating Equipment & Supplies,,,2007-09-14
541163725,0000874761,AES CORP,DE,VA,ARLINGTON,4991,Cogeneration Services & Small Power Producers,AES,AES CORPORATION,2026-09-17
232472830,0000874663,ALKERMES INC,PA,MA,WALTHAM,2834,Pharmaceutical Preparations,,,2020-05-19
474578433,0001651254,"AMG Industries Acquisition, LLC",OH,OH,AKRON,,,,,2015-08-19
953540776,0000318154,AMGEN INC,DE,CA,THOUSAND OAKS,2836,"Biological Products, (No Diagnostic Substances)",AMGN,,2026-09-04
264690600,0001754432,"ARLINGTON VALLEY FARMS, LLC",OH,OH,CLEVELAND HEIGHTS,,,,,2018-09-28
330517898,0001305890,ATK Space Systems Inc.,DE,UT,MAGNA,,,,"Pressure Systems, Inc.",2016-04-18
260379798,0001404922,"AeroControlex Group, Inc.",DE,OH,PAINESVILLE,3728,"Aircraft Parts & Auxiliary Equipment, NEC",,,2021-08-20
362999270,0001537597,Armor All/STP Products Co,DE,CT,DANBURY,,,,,2019-06-27
341940305,0001323885,"AtriCure, Inc.",DE,OH,MASON,3841,Surgical & Medical Instruments & Apparatus,ATRC,,2026-09-14
830722506,0001747282,Aunt Flow Corp.,DE,OH,COLUMBUS,,,,,2022-05-03
841326644,0001217772,BALL METAL BEVERAGE CONTAINER CORP,CO,,,,,,,2025-05-14
135381590,0001991618,"BDO USA, P.A.",VA,IL,CHICAGO,,,,,2023-09-07
134996950,0001085832,BEAHM DOUGLAS M,DE,NJ,PRINCETON,2840,"Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics",,,2000-03-10
942681915,0001110785,BECHTEL GROUP INC,DE,CA,SAN FRANCISCO,,,,,2003-05-09
760428239,0000919964,BETTIS CORP /DE/,DE,TX,WALLER,3590,Misc Industrial & Commercial Machinery & Equipment,,,1998-01-05
