ein,sponsor,sponsor_state,participants_2015,plans_2015,participants_2019,plans_2019,participants_2023,plans_2023
261235310,"1157 DESIGNCONCEPTS, LLC",OH,23,1,,,,
341945124,"20/20 CUSTOM MOLDED PLASTICS, LLC",OH,,,274,1,598,1
760846911,"3D ENGINEERING SOLUTIONS, LLC",OH,13,1,19,1,16,1
311260509,"5BS, INC.",OH,,,,,172,1
833394582,"80 ACRES URBAN AGRICULTURE, INC.",OH,,,,,354,7
341816209,"A&P TOOL, INC.",OH,65,1,128,1,104,1
460635641,A-GAS US INC.,OH,,,285,1,457,2
360698440,ABBOTT LABORATORIES,IL,28954,13,48274,13,59088,13
311090029,ABLE TOOL CORPORATION,OH,32,1,39,1,43,1
873030540,"AC GREEN, LLC",OH,,,,,5,1
360700810,ACE HARDWARE CORPORATION,IL,5407,4,7142,4,10134,5
472427790,ACE PRODUCTS & CONSULTING,OH,,,8,1,20,1
311669468,"ACI SERVICES, INC.",OH,67,1,70,1,85,1
311062147,"ACTION GROUP, INC.",OH,,,27,2,36,3
541923952,"ACUMEN SOLUTIONS, INC.",VA,575,2,882,3,,
470691259,ADALET/SCOTT FETZER COMPANY,OH,193,3,128,3,99,2
943470237,"ADB SAFEGATE AMERICAS, LLC",OH,193,1,249,1,298,2
823980882,ADDUP INC,OH,,,9,1,46,1
113523578,AER LINGUS LIMITED,NY,163,4,214,3,132,2
260379798,"AEROCONTROLEX GROUP, INC.",OH,48,2,,,,
833409500,AEROPACT MANUFACTURING LLC,OH,,,11,2,15,2
341458914,"AIRMATE COMPANY, INC.",OH,33,1,30,1,23,1
381556263,AJM PACKAGING CORPORATION,MI,1327,3,1665,3,2103,3
341117191,ALEX PRODUCTS INC,OH,600,3,974,1,,
232472830,"ALKERMES, INC.",MA,1145,2,2336,2,2686,2
341679064,ALKON CORPORATION,OH,89,1,167,1,251,3
753164446,"ALLIANCE AUTOMATION, LLC",OH,64,1,83,1,167,2
582611718,"ALPLA, INC.",GA,1136,2,1582,2,1997,2
203946941,"ALTENLOH, BRINCK & CO. US, INC.",OH,203,2,265,2,359,2
261643545,"ALTERNATE SOLUTIONS HEALTH NETWORK, LLC",OH,646,2,1647,2,1899,2
474927987,"ALTIVIA PETROCHEMICALS, LLC",TX,,,,,418,2
820544687,"AMAZON.COM SERVICES, LLC",WA,,,397908,3,1295394,2
341165942,"AMERICAN COLORS, INC.",OH,59,2,84,2,99,2
823959668,AMERICAN HEAVY PLATE SOLUTIONS L,OH,,,,,155,2
952041006,"AMERICAN HONDA MOTOR COMPANY, INC.",CA,30800,4,35791,9,41442,6
871928352,"AMERICAN NITRILE OPERATIONS, LLC",OH,,,,,33,1
112695700,"AMERICAN REGENT, INC.",NY,872,4,1431,2,1768,2
475665675,AMERICAN TRAILER WORLD CORP DBA ATW,TX,,,3791,2,4185,2
521747729,"AMERICAN WOOD FIBERS, INC.",MD,349,2,402,2,513,2
474578433,"AMG INDUSTRIES, LLC",OH,21,1,117,3,140,2
202931565,AMG VANADIUM LLC,OH,133,2,183,3,260,4
953540776,AMGEN INC.,CA,15695,4,17328,5,20260,3
311426869,ANNARINO FOODS LLC,OH,,,,,13,1
262673266,"APA SOLAR, LLC",OH,,,,,99,2
311588140,APPALACHIAN WOOD FLOORS INC.,OH,,,157,1,301,2
362556469,"APPVION, INC.",WI,3399,7,,,,
310868493,"APS MATERIALS, INC.",OH,93,1,94,1,159,3
341904902,"AQUABLOK, LTD",OH,,,,,10,1
812419784,ARDAGH METAL PACKAGING USA CORP.,IN,,,,,1987,2
341185757,"ARHAUS, LLC",OH,926,3,1341,3,2185,3
310721681,ARIEL CORPORATION,OH,1218,2,1683,2,1659,2
341904711,"ARNOLD MACHINE, INC.",OH,45,1,55,1,101,1
451759535,"ARTIFLEX MANUFACTURING, INC.",MI,799,3,776,3,846,4
340714532,ASM INTERNATIONAL,OH,280,1,63,2,82,1
271453375,"ASSUREX HEALTH, INC.",OH,241,2,,,,
311145612,"ATHENS MOLD & MACHINE, INC.",OH,,,,,68,1
273187193,"ATLANTIC EMERGENCY SOLUTIONS, INC.",VA,146,2,208,2,345,2
833869983,ATMOS360,OH,,,3,1,2,1
341940305,"ATRICURE, INC.",OH,363,3,657,3,1099,3
310882540,ATS CORPORATION,OH,904,2,1062,2,2061,2
341851391,"AURORA PLASTICS, INC.",OH,69,1,169,2,229,1
311709638,"AUTOMATED MACHINE SYSTEMS, INC.",OH,,,10,2,9,2
341789017,AUTOTOOL INC,OH,25,1,63,1,54,1
911387913,AVELO AIRLINES,TX,216,1,57,1,716,4
611853400,"AVT BECKETT ELEVATORS USA, INC",OH,,,,,2,1
550805988,AXOGEN CORPORATION,FL,,,344,2,578,2
341254126,B & L TRANSPORT INC.,OH,,,,,81,1
833164081,BALLREICH SNACK FOOD COMPANY LLP,OH,,,38,1,,
340084595,"BARIUM & CHEMICALS, INC.",OH,26,1,19,2,20,3
453720765,"BARKBOX, INC.",NY,,,442,2,684,2
