recipient_id,name,all_names,ein,city,state,zip,irc_section,first_fy,last_fy,years,n_rows,total_cash,metrics_company,metrics_programs,metrics_industry,metrics_match_score,metrics_commit_total,metrics_jobs_retained_max,metrics_jobs_created_sum,metrics_months
EIN:941672743,INTEL CORPORATION,INTEL CORPORATION,941672743,SANTA CLARA,CA,95054,,2023,2024,2023 2024,2,124422793,Intel Corporation,Economic Development Grant; Workforce Grant,Technology,1.00,150000000,0,6000,2022-Dec 2022-Jul
EIN:844244377,ULTIUM CELLS,ULTIUM CELLS | ULTIUM CELLS LLC,844244377,DETROIT,MI,48265,,2022,2023,2022 2023,2,50000000,Ultium Cells LLC,Economic Development Grant,Automotive,1.00,50000000,0,1000,2020-Nov
EIN:340526850,THE SHERWIN-WILLIAMS COMPANY,THE SHERWIN-WILLIAMS COMPANY,340526850,CLEVELAND,OH,44115,,2023,2024,2023 2024,2,41990565,The Sherwin-Williams Company,Economic Development Grant; Revitalization Grant,Energy and Chemicals,1.00,37500000,3524,800,2020-Mar
EIN:316000989,UNIVERSITY OF CINCINNATI,UNIVERSITY OF CINCINNATI,316000989,CINCINNATI,OH,45221,STATE OF OHIO,2020,2023,2020 2022 2023,3,37500000,University of Cincinnati,Spec Development (OSIP),TBD,1.00,1000000,,,2022-Jul
EIN:316025986,THE OHIO STATE UNIVERSITY,THE OHIO STATE UNIVERSITY,316025986,COLUMBUS,OH,43212,STATE OF OHIO,2021,2024,2021 2022 2023 2024,4,24500000,,,,,,,,
EIN:340714585,THE CLEVELAND CLINIC FOUNDATION,THE CLEVELAND CLINIC FOUNDATION,340714585,CLEVELAND,OH,44193,501(C)(3),2024,2024,2024,1,21850725,The Cleveland Clinic Foundation,Economic Development Grant,Healthcare,1.00,10000000,17745,1000,2021-Sep
EIN:942681915,BECHTEL OIL GAS AND CHEMICALS INC,BECHTEL OIL GAS AND CHEMICALS INC,942681915,HOUSTON,TX,77056,,2020,2020,2020,1,20000000,,,,,,,,
EIN:953540776,AMGEN INC,AMGEN INC,953540776,LOS ANGELES,CA,90065,,2023,2024,2023 2024,2,18759972,Amgen Inc.,Economic Development Grant,Healthcare,1.00,23000000,400,750,2021-Nov 2025-Apr
EIN:340714775,UNIVERSITY HOSPITALS HEALTH SYSTEM INC,UNIVERSITY HOSPITALS HEALTH SYSTEM INC,340714775,SOLON,OH,44139,501(C)(3),2021,2024,2021 2022 2023 2024,4,17500000,,,,,,,,
EIN:341018992,CASE WESTERN RESERVE UNIVERSITY,CASE WESTERN RESERVE UNIVERSITY,341018992,CLEVELAND,OH,44106,501(C)(3),2021,2024,2021 2023 2024,3,15000000,,,,,,,,
