fiscal_year,object_id,period_end,return_version,amended,sched_i_rows,sched_i_cash,sched_i_noncash,filer_count_501c3_gov,filer_count_other,part_ix_line1_grants_domestic_orgs,part_ix_line2_grants_individuals,total_expenses
2014,201413189349308116,2014-06-30,2013v3.1,no,8,1308000,0,2,6,3862966,0,20574381
2015,201630469349301988,2015-06-30,2014v6.0,no,52,19302675,0,5,47,46551991,0,72399840
2016,201700099349300615,2016-06-30,2015v3.0,no,80,28135693,0,3,77,31763625,0,69865636
2017,201811169349300106,2017-06-30,2016v3.1,no,99,41326967,0,2,97,55950421,0,96247892
2018,201900849349300615,2018-06-30,2017v2.3,no,162,68814015,0,3,159,72468892,0,118568419
2019,202020599349300902,2019-06-30,2018v3.1,no,176,76872922,0,4,172,112393413,,162108189
2020,202140579349301709,2020-06-30,2019v5.2,no,230,192865029,0,13,217,233138690,,287336895
2021,202231369349300238,2021-06-30,2020v4.2,no,317,116309674,0,8,309,210000654,,299885987
2022,202321359349316252,2022-06-30,2021v4.2,no,287,151122798,0,10,277,238403120,,351892885
2023,202421369349306592,2023-06-30,2022v5.0,no,315,311677347,0,11,375,481659666,,584432476
2024,202531359349316618,2024-06-30,2023v6.0,no,312,164149781,0,12,350,138478131,,240538558
