section,parent,paid,share_of_all,type,employees,hq,evidence,payees_on_990,employee_source,notes,eric_ok
1: $1M+,Intel Corporation,124422793,10.61%,business,5000+,CA,A,INTEL CORPORATION,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm; https://stockanalysis.com/stocks/intc/employees/,"Intel's FY2023 10-K reports 124,800 employees as of Dec. 30, 2023 (131,900 in 2022), headquartered in Santa Clara, CA. The recipient is the public parent itself; the grants fund the New Albany (Licking County) fab project.",
1: $1M+,Ultium Cells LLC (50/50 joint venture of General Motors Co. and LG Energy Solution),50000000,4.26%,business,5000+,MI,B,ULTIUM CELLS,https://www.tribtoday.com/news/local-news/2022/03/ultium-charges-up-hiring/; https://www.jobsohio.com/newsroom/ohio-success/ultium-cells,"Ultium Cells is a JV formed in Dec. 2019 by GM (Detroit, MI) and LG Chem/LG Energy Solution (South Korea); the Lordstown plant itself had about 200 workers at end of 2021, 600+ at end of 2022 and a 1,100+ target for 2023. Bucket reflects the two owners (GM alone reports well over 100,000 employees in its 10-K); no single ultimate parent, so a skeptic could argue for either owner or a 'Korea' HQ.",
1: $1M+,The Sherwin-Williams Company,41990565,3.58%,business,5000+,OH,A,THE SHERWIN-WILLIAMS COMPANY,https://www.sec.gov/Archives/edgar/data/89800/000008980024000033/shw-20231231.htm,"FY2023 10-K: 64,088 employees worldwide at Dec. 31, 2023, about 75% in the US; headquartered in Cleveland, founded there in 1866. Grants support the new downtown Cleveland HQ and Brecksville R&D center; JobsOhio metrics list 3,524 retained jobs.",
1: $1M+,University of Cincinnati (State of Ohio public university),37500000,3.20%,university,5000+,OH,B,UNIVERSITY OF CINCINNATI,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.uc.edu/news/articles/2022/04/working-at-the-university-of-cincinnati.html,"Ohio Department of Development's Dec. 2022 Major Employers report lists University of Cincinnati at 10,512 Ohio employees (UC Health separately at 10,118); UC's own 2022 release says over 15,000 employees. Grants are Spec Development (OSIP) money for the Cincinnati Innovation District, not an operating business.",
1: $1M+,The Ohio State University (State of Ohio public university),24500000,2.09%,university,5000+,OH,B,THE OHIO STATE UNIVERSITY,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://irp.osu.edu/sites/default/files/documents/2024/01/2023-24-Statistical-Summary_0.pdf,"Ohio Department of Development's Dec. 2022 Major Employers report lists Ohio State University and Medical Center at 35,656 Ohio employees, fifth-largest employer in the state. No JobsOhio project-metrics row matched; the grants are likely innovation-district and research commitments (Columbus).",
1: $1M+,The Cleveland Clinic Foundation,21850725,1.86%,hospital,5000+,OH,B,THE CLEVELAND CLINIC FOUNDATION,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://newsroom.clevelandclinic.org/2025/01/27/state-of-the-clinic-in-2024-cleveland-clinic-serves-most-patients-in-its-history,"Cleveland Clinic reports 82,600 caregivers worldwide for 2024; the Dec. 2022 Ohio Major Employers report ranks it Ohio's largest employer at 56,986 in-state. Form 5500 shows 71,821 plan participants in 2023. Nonprofit 501(c)(3) health system, not an operating business; JobsOhio metrics show 17,745 retained jobs.",
1: $1M+,"Honda Motor Co., Ltd.",20400000,1.74%,business,5000+,Japan,C,HONDA DEVELOPMENT & MANUFACTURING OF AMERICA LLC | Honda of America Mfg Inc,https://en.wikipedia.org/wiki/Honda | https://stockanalysis.com/stocks/hmc/employees/; https://www.prnewswire.com/news-releases/honda-motor-co-ltd-files-annual-report-on-form-20-f-for-fiscal-year-ended-march-31-2024-302177986.html,"Honda Development & Manufacturing of America LLC (Marysville, OH; the 990 lists 'PA' in error) was formed April 1, 2021 by merging Honda's US manufacturing companies; its parent is Tokyo-based Honda Motor Co., about 194,993 consolidated employees at March 31, 2024 per the Form 20-F. Form 5500 for the EIN shows 41,442 participants under American Honda Motor Co. in 2023; JobsOhio metrics show 8,023 retained jobs and a $232M commitment tied to the EV hub. | Honda Development & Manufacturing of Amer",
1: $1M+,"Bechtel Group, Inc.",20000000,1.71%,business,5000+,VA,C,BECHTEL OIL GAS AND CHEMICALS INC,https://en.wikipedia.org/wiki/Bechtel; https://www.heraldstaronline.com/news/local-news/2020/02/jobsohio-investing-another-20m-toward-proposed-cracker-plant/,"Bechtel Oil, Gas & Chemicals is the Houston-based unit of privately held Bechtel Group, which moved its HQ from San Francisco to Reston, VA by end of 2018 (EDGAR lists a CA address from older filings). The $20M paid in FY2020 was JobsOhio's site-work money for the PTTGC/Daelim Belmont County ethane cracker, routed to Bechtel as contractor. Bechtel's exact 2020 headcount was not found in its 2020 report; ~55,000 employees in 2022 per Wikipedia, and Bechtel was founded in California in 1898.",
1: $1M+,Amgen Inc.,18759972,1.60%,business,5000+,CA,A,AMGEN INC,https://www.sec.gov/Archives/edgar/data/318154/000031815424000011/amgn-20231231.htm; https://stockanalysis.com/stocks/amgn/employees/,"Amgen's FY2023 10-K lists Thousand Oaks, CA as principal executive office; approximately 26,700 staff at end of 2023 (28,000 in 2024). Grants support the New Albany biomanufacturing plant; JobsOhio metrics show 400 retained jobs.",
1: $1M+,"University Hospitals Health System, Inc.",17500000,1.49%,hospital,5000+,OH,B,UNIVERSITY HOSPITALS HEALTH SYSTEM INC,https://dam.assets.ohio.gov/image/upload/development.ohio.gov/research/obs/Ohio-Major-Employers-Report.pdf; https://www.uhhospitals.org/about-uh/publications/uh-annual-report/2022-annual-report,"Ohio Major Employers report (Dec. 2022) lists University Hospitals Health System at 30,891 Ohio employees, headquartered in Shaker Heights; UH's 2021 annual report says more than 30,000 employees. Form 5500 shows 34,924 participants in 2023. Nonprofit 501(c)(3) health system; no JobsOhio metrics row matched.",
