why_listed,company,paid,size,ohio_hq,hq_where,confidence,basis,source,your_answer
Paid $1M or more,Intel Corporation,124422793,Large,No,CA,High,"Intel's FY2023 10-K reports 124,800 employees as of Dec. 30, 2023 (131,900 in 2022), headquartered in Santa Clara, CA. The recipient is the public parent itself; the grants fund the New Albany (Licking County) fab project.",https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/intc-20231230.htm,ok
Paid $1M or more,Ultium Cells LLC (50/50 joint venture of General Motors Co. and LG Energy Solution),50000000,Large,No,MI,High,"Ultium Cells is a JV formed in Dec. 2019 by GM (Detroit, MI) and LG Chem/LG Energy Solution (South Korea); the Lordstown plant itself had about 200 workers at end of 2021, 600+ at end of 2022 and a 1,100+ target for 2023. Bucket reflects the two owners (GM alone reports well over 100,000 employees i",https://www.jobsohio.com/newsroom/ohio-success/ultium-cells,ok
Paid $1M or more,The Sherwin-Williams Company,41990565,Large,Yes,OH,High,"FY2023 10-K: 64,088 employees worldwide at Dec. 31, 2023, about 75% in the US; headquartered in Cleveland, founded there in 1866. Grants support the new downtown Cleveland HQ and Brecksville R&D center; JobsOhio metrics list 3,524 retained jobs.",https://www.sec.gov/Archives/edgar/data/89800/000008980024000033/shw-20231231.htm,ok
Paid $1M or more,"Honda Motor Co., Ltd.",20400000,Large,No,Japan,Best guess,"Honda Development & Manufacturing of America LLC (Marysville, OH; the 990 lists 'PA' in error) was formed April 1, 2021 by merging Honda's US manufacturing companies; its parent is Tokyo-based Honda Motor Co., about 194,993 consolidated employees at March 31, 2024 per the Form 20-F. Form 5500 for th",https://en.wikipedia.org/wiki/Honda,ok
Paid $1M or more,"Bechtel Group, Inc.",20000000,Large,No,VA,Best guess,"Bechtel Oil, Gas & Chemicals is the Houston-based unit of privately held Bechtel Group, which moved its HQ from San Francisco to Reston, VA by end of 2018 (EDGAR lists a CA address from older filings). The $20M paid in FY2020 was JobsOhio's site-work money for the PTTGC/Daelim Belmont County ethane ",https://en.wikipedia.org/wiki/Bechtel; https://www.heraldstaronline.com/news/local-news/2020/02/jobsohio-investing-another-20m-toward-proposed-cracker-plant/,ok
Paid $1M or more,Amgen Inc.,18759972,Large,No,CA,High,"Amgen's FY2023 10-K lists Thousand Oaks, CA as principal executive office; approximately 26,700 staff at end of 2023 (28,000 in 2024). Grants support the New Albany biomanufacturing plant; JobsOhio metrics show 400 retained jobs.",https://www.sec.gov/Archives/edgar/data/318154/000031815424000011/amgn-20231231.htm,
Paid $1M or more,Cleveland-Cliffs Inc.,14000000,Large,Yes,OH,High,"IronUnits LLC is the Cleveland-Cliffs subsidiary that owns the Toledo HBI plant (130 permanent jobs). Cliffs' FY2019 10-K reports 2,372 employees at Dec. 31, 2019 (500-4999 for the FY2019 grant), then about 25,000 after the AK Steel and ArcelorMittal USA acquisitions in 2020, so the FY2020 and FY202",https://www.sec.gov/Archives/edgar/data/0000764065/000076406520000041/clf-2019123110xk.htm,
Paid $1M or more,Nationwide Children's Hospital,13500000,Large,Yes,OH,High,"The Research Institute is a 501(c)(3) arm of Nationwide Children's Hospital in Columbus, which reports about 11,900 employees. ProPublica lists the EIN under 'Nationwide Childrens Hospital Inc (Research Institute At Nationwide)'.",https://en.wikipedia.org/wiki/Nationwide_Children%27s_Hospital,
Paid $1M or more,FirstEnergy Corp.,12408019,Large,Yes,OH,High,"FirstEnergy Generation LLC was a wholly owned subsidiary of FirstEnergy Solutions, itself a subsidiary of Akron-based FirstEnergy Corp. (about 15,600 employees at end of 2017 per the 10-K). The $12.4M is the JobsOhio revitalization loan for cleanup of the retired R.E. Burger coal plant site in Belmo",https://stockanalysis.com/stocks/fe/employees/; https://www.sec.gov/Archives/edgar/data/1031296/000103129618000015/fe-12312017x10k.htm,
Paid $1M or more,"PTT Global Chemical Public Company Limited (PTTGC), majority-owned by PTT Plc",11451981,Large,No,Thailand,Best guess,"PTTGC America is the US arm of Bangkok-listed PTT Global Chemical (5,000-10,000 employees per directory data; PTT Plc, the Thai state oil company, holds the controlling stake). Partner Daelim (South Korea) withdrew in 2020. JobsOhio grants funded Belmont County cracker-site work; PTTGC repaid $20M i",https://www.set.or.th/en/market/product/stock/quote/pttgc/factsheet,
Paid $1M or more,"Fuyao Glass Industry Group Co., Ltd.",10600000,Large,No,China,High,"Fuyao Glass America is the Moraine, OH subsidiary of Fuyao Glass Industry Group, Fuqing, Fujian, China (Shanghai/Hong Kong listed; about 18,000 employees worldwide per Dayton Daily News in 2016 and about 26,000 per D&B). The Moraine plant alone grew past 2,000 workers by 2017; Form 5500 participants",https://www.daytondailynews.com/news/breaking-news/fuyao-set-double-hiring-moraine-plant-500-jobs/XIW2hI9dJ3w0Rw5Uw8KVnL/; https://www.dnb.com/business-directory/company-profiles/fuyao-glass-industry-group-co-ltd.698fe3f436b3635a6dea9ede7d781e50,
Paid $1M or more,General Electric Company (GE Aerospace),10091471,Large,No,MA,High,"GE's FY2023 10-K reports about 125,000 employees at Dec. 31, 2023 (283,000 at end of 2018), headquartered in Boston, MA during FY2018-2023; after the April 2024 spin-offs GE Aerospace moved the HQ to Evendale, OH, so the FY2024 grant went to an Ohio-headquartered parent. The R&D grants go to GE Avia",https://www.ge.com/sites/default/files/ge_10k_02022024.pdf,
Paid $1M or more,Petmin (Pty) Ltd,10000000,Large,No,South Africa,Best guess,"Petmin USA is the subsidiary of Johannesburg-based Petmin, a private mining company (delisted from the JSE in 2017 after a private-equity-backed buyout) whose Somkhele anthracite mine employs roughly 1,000-1,600 people per company and trade-press sources. JobsOhio paid $5M economic development plus ",https://businessjournaldaily.com/474m-pig-iron-plant-gets-permits-for-ashtabula-site/,
Paid $1M or more,Nestlé S.A.,9200000,Large,No,Switzerland,Best guess,"Nestlé Purina PetCare (St. Louis, MO) is a wholly owned division of Nestlé S.A. of Vevey, Switzerland, which employs roughly 270,000-275,000 people; the JobsOhio release says Nestlé alone had 3,300 Ohio employees when it announced the $550M Williamsburg Township plant. The EDGAR match is the legacy ",https://en.wikipedia.org/wiki/Nestl%C3%A9,
Paid $1M or more,"altafiber (Cincinnati Bell Inc.), owned by Macquarie Infrastructure Partners; Digital Access Ohio is its joint venture with JobsOhio",7470000,Large,Yes,OH,High,"Digital Access Ohio LLC was formed in 2022 by Canton-based Agile Networks with JobsOhio committing up to $40M; altafiber (Cincinnati Bell) bought Agile on May 2, 2022 for $65.5M, and its FY2022 10-K calls DAO 'our Joint Venture with the State of Ohio', carries the JobsOhio money as a 'Digital Access",https://www.sec.gov/Archives/edgar/data/716133/000095017023009198/ck0000716133-20221231.htm,
Paid $1M or more,McKesson Corporation,6613235,Large,No,TX,High,"CoverMyMeds was founded in Twinsburg in 2008 and bought by McKesson in January 2017 for $1.1B (about 450 employees then), before the first grant year; McKesson's FY2020 10-K reports about 80,000 employees. McKesson moved its HQ from San Francisco, CA to Irving, TX effective April 1, 2019, so the FY2",https://www.sec.gov/Archives/edgar/data/927653/000092765320000033/mck10k3312020.htm,
Paid $1M or more,"First Solar, Inc.",6345649,Large,No,AZ,High,"Public company (NASDAQ: FSLR) headquartered in Tempe, AZ; FY2020 10-K reports approximately 5,100 associates as of December 31, 2020. Its predecessor Solar Cells Inc. started in Toledo, but the parent was formed in Arizona in 1999 and the Ohio plants in Perrysburg and Lake Township are subsidiaries.",https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/fslr-20201231.htm,
Paid $1M or more,JPMorgan Chase & Co.,5900000,Large,No,NY,High,"JPMorgan Chase Bank, N.A. (Columbus-chartered) is the main bank subsidiary of JPMorgan Chase & Co., New York; the FY2019 10-K reports headcount of 256,981 and JobsOhio's 2018 release puts its central Ohio workforce at 19,200. The EDGAR match to 'Warehouse Funding Avery Point VII' is a trust filing u",https://www.sec.gov/Archives/edgar/data/19617/000001961720000257/corp10k2019.htm,
