recipient_id,name,total_cash,first_rule,first_emp_bucket,second_emp_bucket,first_parent_hq_state,second_parent_hq_state,first_recipient_class,second_recipient_class,first_size,second_size,second_parent,second_notes
EIN:208192116,ISS AMERICA,25000,Rule R1,<100,5000+,OH,Japan,business,business,small,large,"Daido Metal Co., Ltd.","ISS America (Bellefontaine) is Iino Manufacturing's US plant (issamerica.com); Iino (1,366 consolidated staff) has been 100% owned by TSE-listed Daido Metal (Nagoya) since Dec 2016, which reports 7,055 consolidated employees (Mar 2024). The Inclusion Grant and 22 jobs retained describe the small Ohio unit, not the group."
EIN:262024381,Clinical Management Consultants Inc,125000,Rule R2,<100,<100,OH,CA,business,business,small,small,Clinical Management Consultants Inc.,"Privately held healthcare recruiting firm founded 2008; LinkedIn lists HQ in San Francisco and 51-200 staff today, so the Cleveland site was likely a regional office. The 2018 bucket rests on 14 jobs retained and a 2019 Form 5500 count of 13; HQ state at grant time not confirmed."
EIN:814598385,HYDRAULIC MANIFOLDS USA LLC,75000,research,<100,<100,OH,NJ,business,business,small,small,Hydraulic Manifolds USA LLC,"West Milford, NJ maker of hydraulic manifolds (est. 1971 as Selling Precision, renamed 2017) that added a Stow, OH plant; no parent found. Bucket from Form 5500 counts of 27 (2019) and 19 (2023); no direct headcount found."
EIN:262673266,APA SOLAR LLC,250000,Rule R2,<100,100-499,OH,OH,business,business,small,small,APA Solar LLC,"JobsOhio release (Mar 2025) says the 2008 spin-off of Alex Products has more than 200 employees; privately held by the Von Deylen family during the grant year, then acquired by Array Technologies (NM, public) in Q3 2025, after the grant (https://www.sec.gov/Archives/edgar/data/1820721/000119312525142342/d931026dex991.htm)."
EIN:311734210,Egelhof Controls Corp,150000,Rule R2,<100,500-4999,OH,Germany,business,business,small,large,Otto Egelhof GmbH & Co. KG (EGELHOF Group),"Toledo plant (founded 2005) of the family-owned EGELHOF group of Fellbach, Germany; the group site says 9 sites and 600 employees today, and the 2016 figure was not found, so the bucket assumes a similar size. The site says EGELHOF Controls has since stopped production and operates as a sales company, EGELHOF USA."
EIN:341165942,AMERICAN COLORS INC,75000,Rule R2,<100,100-499,OH,OH,business,business,small,small,American Colors Inc,"Private, employee-owned pigment-dispersion maker founded in Sandusky in 1975, with plants in Tennessee, Shanghai and Italy (Colorificio Migliavacca, bought 2022). No headcount found; U.S. Form 5500 shows 99 participants in 2023, and the foreign plants likely push the worldwide total just over 100, so the bucket could be <100."
EIN:201702549,CIIC HOLDINGS LTD,250000,research,<100,<100,OH,OH,business,site_development,small,small,CiiC Holdings Ltd,"A Cleveland holding company that got only a $250,000 Revitalization Grant with zero jobs retained, so it looks like a property-owning entity; the name may refer to the Cleveland Industrial Innovation Center, but that link is unconfirmed. The JobsOhio sitemap, Google News RSS, EDGAR and guessed domains named no developer or operator."
EIN:474344181,KAIKER DEVELOPMENT LLC,39905,Rule R4,,,OH,OH,site_development,business,unknown,unknown,Kaiker Development LLC (Kaiker Development + Construction),"Independent Cincinnati development and construction management firm (the company site and local press describe its townhome projects), classed as an operating business, not a single-project LLC. The site gives no headcount; the size comes from the Inclusion (small business) Grant and 4 jobs retained."
EIN:473134140,MADDOX INDUSTRIAL TRANSFORMER LLC,200000,Rule R2,100-499,100-499,SC,WA,business,business,small,small,Maddox Industrial Transformer LLC,"Privately held transformer supplier founded in 2015 and headquartered in Battle Ground, Wash., with plants in Greer, S.C. (the Schedule I address) and an Ohio site opened in 2023. The company site now claims 400+ employees; Form 5500 showed 184 participants in 2023, so it was in the 100-499 range in the grant year."
EIN:815387175,TEST-FUCHS CORPORATION,125000,Rule R2,<100,500-4999,OH,Austria,business,business,small,large,TEST-FUCHS GmbH,"Test-Fuchs Corporation is the US arm (Brecksville/Independence, OH; 6 jobs retained, 16-27 Form 5500 participants) of family-founded TEST-FUCHS GmbH, Gross-Siegharts, Austria, which its site says has more than 600 employees; the figure is current, not dated to 2021."
